Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
X28,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,227.4056,-178.101,-90.0,top
X29,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,210.6056,-178.101,-90.0,top
X3,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,94.1982,-142.75,90.0,top
X30,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,194.0724,-178.1,-90.0,top
X31,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,177.41,-178.1,-90.0,top
X32,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,160.7476,-178.1,-90.0,top
X33,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,143.625651,-178.051,-90.0,top
X34,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,126.963251,-178.051,-90.0,top
X35,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,110.300851,-178.051,-90.0,top
X36,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,93.638451,-178.051,-90.0,top
X37,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,76.976051,-178.051,-90.0,top
X38,Conn_01x03_Pin,Pad LED Strip 1x03 2.54,60.313651,-178.051,-90.0,top
X4,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,110.8606,-142.75,90.0,top
X5,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,127.523,-142.75,90.0,top
X6,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,144.1854,-142.75,90.0,top
X7,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,160.8478,-142.75,90.0,top
X8,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,177.5102,-142.75,90.0,top
X9,Conn_01x03_Pin,PinSocket_1x03_P2.54mm_Vertical,210.835,-142.75,90.0,top
